loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,Imaging,,156,1.44,13.9,,,M6,3064,0.28,0.11,,,-2.23,0.035,
41,2MASS J0249-0557 c,2MASS J0249-0557 A,1,2,1,0,Imaging,,1950,,11.6,,,M6 V,,,0.05,,,-2.59,0.022,66.0613
42,2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,1,0,Imaging,,572,,18,,,,,,,,,,,117.435
43,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,1,0,Imaging,,15,,7.5,,,M8.5,,,0.02,,,,0.001,
44,2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,1,0,Imaging,,266,,28,,,,,,,,,,,
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,1,0,Imaging,,587,,20,,,,,,,,,,,100.862
46,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,1,0,Imaging,,55,,5,,,M8,,,0.02,,,,0.008,64.308
47,2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,1,1,0,Imaging,,46,,4,,,,2825,0.22,0.19,,,-2.561,,64.308
48,2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,2,3,0,Eclipse Timing Variations,406,,,1.86,0.33,,,29564,0.2,0.48,,,,,396.332
49,2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,2,3,0,Eclipse Timing Variations,416,0.92,,1.9,,,,,,0.48,,,,,396.332
50,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,1,0,Imaging,,7493,,12,,,,,,,,,,,34.1154
51,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,1,0,Imaging,,230,,12.5,,,K7 V,4045,,0.6,,,,0.12,69.5737
52,30 Ari B b,30 Ari B,0,4,1,0,Radial Velocity,335.1,0.995,,9.88,0.289,,F6 V,6300,1.13,1.16,0.245,[Fe/H],,0.91,44.657
53,30 Ari B b,30 Ari B,0,4,1,0,Radial Velocity,345.4,1.01,,6.6,0.18,,,,1.13,1.16,,,,,44.657
54,30 Ari B b,30 Ari B,1,4,1,0,Radial Velocity,335.10001,0.99,,13.82,0.29,,,6331,1.41,1.93,0.19,[Fe/H],,,44.657
55,4 UMa b,4 UMa,1,1,1,0,Radial Velocity,270.27,0.877,,7.902,0.453,,K1 III,4415,18.11,1.23,-0.25,[Fe/H],,4.604,73.4603
56,4 UMa b,4 UMa,0,1,1,0,Radial Velocity,269.3,0.87,,7.1,0.432,,K1 III,4415,18.11,1.23,-0.25,[Fe/H],,4.604,73.4603
57,42 Dra b,42 Dra,1,2,1,0,Radial Velocity,479.1,1.19,,3.88,0.38,,K1.5 III,4200,22.03,0.98,-0.46,[Fe/H],,9.49,90.6545
58,47 UMa b,47 UMa,0,1,3,0,Radial Velocity,1076.6,2.1,,2.45,0.012,,G0 V,5882,,1.06,0.04,[Fe/H],,,13.7967
59,47 UMa b,47 UMa,1,1,3,0,Radial Velocity,1078,2.1,,2.53,0.032,,,5872,1.21,1.06,0.04,[M/H],0.198,,13.7967
60,47 UMa b,47 UMa,0,1,3,0,Radial Velocity,1100.8,2.11,,2.76,0.097,,,,,,,,,,13.7967
61,47 UMa b,47 UMa,0,1,3,0,Radial Velocity,1083.2,2.11,,2.6,0.049,,G1 V,,,,,,,,13.7967
62,47 UMa b,47 UMa,0,1,3,0,Radial Velocity,1076.6,2.059,,2.438,0.016,,,5829.16,1.14,1.01,0.026,[Fe/H],,,13.7967
63,47 UMa c,47 UMa,1,1,3,0,Radial Velocity,2391,3.6,,0.54,0.098,,,5872,1.21,1.06,0.04,[M/H],0.198,,13.7967
64,47 UMa c,47 UMa,0,1,3,0,Radial Velocity,7586,7.73,,1.34,0.005,,G1 V,,,,,,,,13.7967
65,47 UMa c,47 UMa,0,1,3,0,Radial Velocity,2287,3.404,,0.497,0.179,,,5829.16,1.14,1.01,0.026,[Fe/H],,,13.7967
66,47 UMa d,47 UMa,1,1,3,0,Radial Velocity,14002,11.6,,1.64,0.16,,,5872,1.21,1.06,0.04,[M/H],0.198,,13.7967
67,47 UMa d,47 UMa,0,1,3,0,Radial Velocity,19000,13.8,,1.51,0.38,,,5829.16,1.14,1.01,0.026,[Fe/H],,,13.7967
68,51 Eri b,51 Eri,0,3,1,0,Imaging,14965,14,,,0.21,138,,7295,1.49,1.65,,,0.752,,29.7575
69,51 Eri b,51 Eri,0,3,1,0,Imaging,11688,12,,,0.45,133,,7295,1.49,1.65,,,0.752,,29.7575
70,51 Eri b,51 Eri,1,3,1,0,Imaging,,13.2,,2,,,F0 IV,,,1.75,-0.027,[M/H],0.85,0.02,29.7575
71,51 Peg b,51 Peg,0,1,1,0,Radial Velocity,4.23077,0.052,,0.468,0,,,,,,,,,,15.4614
72,51 Peg b,51 Peg,0,1,1,0,Radial Velocity,4.2293,,,0.47,0,,,5773,1.29,,0.2,[M/H],,10,15.4614
73,51 Peg b,51 Peg,0,1,1,0,Radial Velocity,4.2307969,0.05235,,0.464,0.0042,,,5760.76,1.19,1.07,0.206,[Fe/H],,,15.4614
74,51 Peg b,51 Peg,0,1,1,0,Radial Velocity,4.231,0.052,,0.46,0,80,,,,1.04,,,,,15.4614
75,51 Peg b,51 Peg,1,1,1,0,Radial Velocity,4.230785,0.0527,,0.472,0.013,,,5758,1.18,1.03,0.18,[M/H],0.136,,15.4614
76,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.65162,0.115,,0.824,0.014,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
77,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.65126,0.1138,,0.82,0.0159,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
78,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.653,0.115,,0.84,0.02,,G8 V,,,0.95,0.27,[Fe/H],,5.5,12.5855
79,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.67,0.115,,0.784,0.0197,,,,,0.95,,,,,12.5855
80,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.647,0.115,,0.91,0.03,,,,,,,,,,12.5855
81,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.65171,0.1162,,0.841,0.0048,,,5317.89,0.96,0.97,0.383,[Fe/H],,,12.5855
82,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.465314,0.11339,,0.84,0.0023,89.73,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
83,55 Cnc b,55 Cnc,1,2,5,0,Radial Velocity,14.6516,0.1134,,0.8036,0,,,5172,0.94,0.91,0.35,[Fe/H],,,12.5855
84,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.65152,0.115227,,0.8306,0.0034,90,,,,0.95,,,,,12.5855
85,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.648,0.11,,0.84,0.051,,G8 V,5200,,0.85,0.23,[Fe/H],,5,12.5855
86,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.6,0.113,,0.8,0,,K0 IV-V,,,,,,,,12.5855
87,55 Cnc b,55 Cnc,0,2,5,0,Radial Velocity,14.651,0.1134,,0.8,0.004,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
88,55 Cnc c,55 Cnc,1,2,5,0,Radial Velocity,44.3989,0.2373,,0.1611,0.03,,,5172,0.94,0.91,0.35,[Fe/H],,,12.5855
89,55 Cnc c,55 Cnc,0,2,5,0,Radial Velocity,44.373,0.23735,,0.1784,0.072,89.73,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
90,55 Cnc c,55 Cnc,0,2,5,0,Radial Velocity,44.3787,0.238,,0.165,0.053,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
91,55 Cnc c,55 Cnc,0,2,5,0,Radial Velocity,43.93,0.24,,0.217,0.44,,,,,0.95,,,,,12.5855
92,55 Cnc c,55 Cnc,0,2,5,0,Radial Velocity,44.3827,0.2432,,0.171,0.048,,,5317.89,0.96,0.97,0.383,[Fe/H],,,12.5855
93,55 Cnc c,55 Cnc,0,2,5,0,Radial Velocity,44.38,0.237,,0.165,0.07,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
94,55 Cnc c,55 Cnc,0,2,5,0,Radial Velocity,44.3446,0.24,,0.169,0.086,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
95,55 Cnc c,55 Cnc,0,2,5,0,Radial Velocity,44.4175,0.241376,,0.1714,0.02,90,,,,0.95,,,,,12.5855
96,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,4867,5.446,,3.86,0.0269,89.73,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
97,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,5370,5.84,,3.84,0.063,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
98,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,4545,5.28,,2.89,0.24,,,,,,,,,,12.5855
99,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,4517.4,5.257,,3.912,0.327,,,,,0.95,,,,,12.5855
100,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,4825,5.503,,3.878,0.019,90,,,,0.95,,,,,12.5855
101,55 Cnc d,55 Cnc,1,2,5,0,Radial Velocity,5574.2,5.957,,3.12,0.13,,,5172,0.94,0.91,0.35,[Fe/H],,,12.5855
102,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,4820,5.54,,2.86,0.139,,,5317.89,0.96,0.97,0.383,[Fe/H],,,12.5855
103,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,5360,5.9,,4.05,0.16,,G8 V,,,0.95,0.27,[Fe/H],,5.5,12.5855
104,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,4909,5.47,,3.53,0.02,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
105,55 Cnc d,55 Cnc,0,2,5,0,Radial Velocity,5218,5.77,,3.835,0.025,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
106,55 Cnc e,55 Cnc,1,2,5,0,Radial Velocity,0.7365474,0.01544,0.167,0.02514,0.05,83.59,,5172,0.94,0.91,0.35,[Fe/H],,,12.5855
107,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.7365417,,,,,85.4,,,,,,,,,12.5855
108,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.7365478,0.015439,,0.02547,0.028,90.36,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
109,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.73654582,,0.171,,,,,5250,0.96,,,,,,12.5855
110,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.736539,0.01544,0.17,0.02542,,83.3,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
111,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.73654604,,,,,,,,,,,,,,12.5855
112,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,,,,,,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
113,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.7365437,0.01544,0.186,0.02457,0.061,87.3,,5234,0.94,0.91,0.31,[Fe/H],,,12.5855
114,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.737,,0.169,0.02435,,,,5172,0.95,0.87,0.35,[Fe/H],,,12.5855
115,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,2.808,0.038,,0.045,0.174,,,,,0.95,,,,,12.5855
116,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.7365515,0.015691,,0.02561,0.04,90,,,,0.95,,,,,12.5855
117,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,0.736546,0.01583,0.194,0.026,0,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
118,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,,0.01544,0.171,0.02542,,83,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
119,55 Cnc e,55 Cnc,0,2,5,0,Radial Velocity,2.79674,0.0377,,0.0235,0.264,,,5250,0.96,0.9,0.35,[M/H],-0.197,,12.5855
