loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist
8715,Kepler-116 b,Kepler-116,0,1,2,0,Transit,,,0.285,,,,,6220,1.41,,,,,,955.168
8716,Kepler-116 b,Kepler-116,0,1,2,0,Transit,5.96871747,0.0684,,,0,87.09,,6484,1.17,1.2,-0.08,[Fe/H],,,955.168
8717,Kepler-116 b,Kepler-116,1,1,2,0,Transit,5.968734,0.069,0.305,,,,,6142,1.45,,,,,,955.168
8718,Kepler-116 b,Kepler-116,0,1,2,0,Transit,5.96872405,0.067,,,0,89.25,,6122,1.44,1.12,0.02,[Fe/H],,,955.168
8719,Kepler-116 b,Kepler-116,0,1,2,0,Transit,5.96871747,0.0684,,,0,87.09,,6484,1.17,1.2,-0.08,[Fe/H],,,955.168
8720,Kepler-116 b,Kepler-116,0,1,2,0,Transit,5.96872405,,,,,,,6282,1.37,1.23,,,0.421,,955.168
8721,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.071489,0.1153,,,0,89.95,,6484,1.17,1.2,-0.08,[Fe/H],,,955.168
8722,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.07161083,,,,,,,6282,1.37,1.23,,,0.421,,955.168
8723,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.071489,0.1153,,,0,89.95,,6484,1.17,1.2,-0.08,[Fe/H],,,955.168
8724,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.07141889,0.113,,,0,88.05,,6122,1.44,1.12,0.02,[Fe/H],,,955.168
8725,Kepler-116 c,Kepler-116,1,1,2,0,Transit,13.07163,0.116,0.205,,,,,6142,1.45,,,,,,955.168
8726,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.07139534,,,,,,,6282,1.37,1.23,,,0.421,,955.168
8727,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.07141889,,,,,,,6282,1.37,1.23,,,0.421,,955.168
8728,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.07162,0.116,,,0,87.09,,6495,1.15,1.21,,,,0.34,955.168
8729,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.071489,0.1153,,,0,89.95,,6484,1.17,1.2,-0.08,[Fe/H],,,955.168
8730,Kepler-116 c,Kepler-116,0,1,2,0,Transit,,,0.216,,,,,6220,1.41,,,,,,955.168
8731,Kepler-116 c,Kepler-116,0,1,2,0,Transit,13.071489,,0.193,,,,,6187,1.43,1.21,0.04,[Fe/H],,3.31,955.168
8732,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,7.97033985,0.0755,,,0,89.74,,5774,0.82,0.91,-0.3,[Fe/H],,,1077.63
8733,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,7.97034958,0.0755,,,0,89.95,,5782,0.82,0.9,-0.3,[Fe/H],,,1077.63
8734,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,7.97033985,,,,,,,5429,0.76,0.95,,,-0.343,,1077.63
8735,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,7.97034958,0.0755,,,0,89.95,,5782,0.82,0.9,-0.3,[Fe/H],,,1077.63
8736,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,7.97083,0.077,,,0,87.66,,5796,0.87,0.97,,,,0.4,1077.63
8737,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,7.97034958,0.0755,,,0,89.95,,5782,0.82,0.9,-0.3,[Fe/H],,,1077.63
8738,Kepler-1160 b,Kepler-1160,1,1,1,0,Transit,7.97034958,,0.191,,,,,5519,0.89,0.92,0.01,[Fe/H],,4.57,1077.63
8739,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,,,0.144,,,,,5780,0.73,,,,,,1077.63
8740,Kepler-1160 b,Kepler-1160,0,1,1,0,Transit,7.97003744,,,,,,,5429,0.76,0.95,,,-0.343,,1077.63
8741,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71253475,,,,,,,4512.48,0.77,0.71,-0.163,[M/H],-0.653,,547.726
8742,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71253219,,,,,,,4512.48,0.77,0.71,-0.163,[M/H],-0.653,,547.726
8743,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71252541,0.077,,,0,88.81,,4083,0.52,0.53,-0.5,[Fe/H],,,547.726
8744,Kepler-1161 b,Kepler-1161,1,1,1,0,Transit,10.71252541,,0.19,,,,,4253,0.57,0.59,-0.35,[Fe/H],,3.39,547.726
8745,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71252541,0.077,,,0,88.81,,4083,0.52,0.53,-0.5,[Fe/H],,,547.726
8746,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71252541,0.077,,,0,88.81,,4083,0.52,0.53,-0.5,[Fe/H],,,547.726
8747,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,,,0.255,,,,,4175,0.77,,,,,,547.726
8748,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71243,0.083,,,0,88.24,,4226,0.8,0.68,,,,,547.726
8749,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71253475,0.0784,,,0,88.16,,4175,0.54,0.56,-0.46,[Fe/H],,,547.726
8750,Kepler-1161 b,Kepler-1161,0,1,1,0,Transit,10.71250013,,,,,,,4512.48,0.77,0.71,-0.163,[M/H],-0.653,,547.726
8751,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.5635249,0.19,,,0,89.51,,5225,0.86,0.86,0.14,[Fe/H],,,940.211
8752,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.5637069,0.194,,,0,88.81,,5575,0.83,0.92,-0.08,[Fe/H],,,940.211
8753,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.5637069,0.194,,,0,88.81,,5575,0.83,0.92,-0.08,[Fe/H],,,940.211
8754,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,,,0.173,,,,,5226,0.81,,,,,,940.211
8755,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.5637069,0.194,,,0,88.81,,5575,0.83,0.92,-0.08,[Fe/H],,,940.211
8756,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.5635249,,,,,,,5276,0.83,0.9,,,-0.322,,940.211
8757,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.56265,0.193,,,0,89.95,,5540,0.8,0.91,,,,0.5,940.211
8758,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.56369016,,,,,,,5276,0.83,0.9,,,-0.322,,940.211
8759,Kepler-1162 b,Kepler-1162,1,1,2,0,Transit,32.5637069,,0.197,,,,,5390,0.84,0.89,-0.03,[Fe/H],,4.37,940.211
8760,Kepler-1162 b,Kepler-1162,0,1,2,0,Transit,32.56356274,,,,,,,5276,0.83,0.9,,,-0.322,,940.211
8761,Kepler-1162 c,Kepler-1162,0,1,2,0,Transit,59.2841571,0.2892,,,0,89.95,,5575,0.83,0.92,-0.08,[Fe/H],,,940.211
8762,Kepler-1162 c,Kepler-1162,0,1,2,0,Transit,59.2841571,0.2892,,,0,89.95,,5575,0.83,0.92,-0.08,[Fe/H],,,940.211
8763,Kepler-1162 c,Kepler-1162,0,1,2,0,Transit,59.2841571,0.2892,,,0,89.95,,5575,0.83,0.92,-0.08,[Fe/H],,,940.211
8764,Kepler-1162 c,Kepler-1162,0,1,2,0,Transit,59.28408595,,,,,,,5276,0.83,0.9,,,-0.322,,940.211
8765,Kepler-1162 c,Kepler-1162,0,1,2,0,Transit,59.284064,,,,,,,5276,0.83,0.9,,,-0.322,,940.211
8766,Kepler-1162 c,Kepler-1162,0,1,2,0,Transit,59.28409958,,0.168,,,,,5225,0.86,0.86,0.14,[Fe/H],,,940.211
8767,Kepler-1162 c,Kepler-1162,1,1,2,0,Transit,59.284064,0.2832,,,0,89.55,,5225,0.86,0.86,0.14,[Fe/H],,,940.211
8768,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,6.11786898,0.0679,,,0,87.66,,6444,1.11,1.11,-0.22,[Fe/H],,,478.647
8769,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,6.11789109,,,,,,,6263.03,1.34,1.22,0.012,[M/H],0.396,,478.647
8770,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,6.11784972,0.0685,,,0,88.22,,6226,1.33,1.14,0.02,[Fe/H],,,478.647
8771,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,6.11784972,,,,,,,6263.03,1.34,1.22,0.012,[M/H],0.396,,478.647
8772,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,6.117982,0.069,,,0,84.8,,6437,1.12,1.18,,,,0.29,478.647
8773,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,6.11786898,0.0679,,,0,87.66,,6444,1.11,1.11,-0.22,[Fe/H],,,478.647
8774,Kepler-1163 b,Kepler-1163,1,1,1,0,Transit,6.11786898,,0.092,,,,,6302,1.35,1.22,0.02,[Fe/H],,2.88,478.647
8775,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,6.11786898,0.0679,,,0,87.66,,6444,1.11,1.11,-0.22,[Fe/H],,,478.647
8776,Kepler-1163 b,Kepler-1163,0,1,1,0,Transit,,,0.095,,,,,6208,1.34,,,,,,478.647
8777,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,3.97600484,,,,,,,5197,0.78,0.88,,,-0.399,,431.622
8778,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,,,0.097,,,,,5176,0.77,,,,,,431.622
8779,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,3.97599768,0.0456,,,0,88.24,,5211,0.83,0.8,-0.04,[Fe/H],,,431.622
8780,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,3.97599629,0.0457,,,0,88.57,,5143,0.78,0.8,-0.06,[Fe/H],,,431.622
8781,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,3.97599629,,,,,,,5197,0.78,0.88,,,-0.399,,431.622
8782,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,3.97599768,0.0456,,,0,88.24,,5211,0.83,0.8,-0.04,[Fe/H],,,431.622
8783,Kepler-1164 b,Kepler-1164,1,1,1,0,Transit,3.97599768,,0.1,,,,,5183,0.79,0.85,-0.03,[Fe/H],,3.63,431.622
8784,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,3.976032,0.045,,,0,88.81,,5179,0.79,0.77,,,,13.9,431.622
8785,Kepler-1164 b,Kepler-1164,0,1,1,0,Transit,3.97599768,0.0456,,,0,88.24,,5211,0.83,0.8,-0.04,[Fe/H],,,431.622
8786,Kepler-1165 b,Kepler-1165,1,1,2,0,Transit,9.478522,,0.138,,,,,6080,1.18,1.13,0.05,[Fe/H],,3.24,1575.2
8787,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,9.478522,0.0905,,,0,89.38,,6224,1.08,1.09,-0.06,[Fe/H],,,1575.2
8788,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,,,0.204,,,,,6255,1.68,,,,,,1575.2
8789,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,9.478522,0.0905,,,0,89.38,,6224,1.08,1.09,-0.06,[Fe/H],,,1575.2
8790,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,9.478522,0.0905,,,0,89.38,,6224,1.08,1.09,-0.06,[Fe/H],,,1575.2
8791,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,9.47850818,0.0914,,,0,89.46,,6249,1.08,1.13,-0.04,[Fe/H],,,1575.2
8792,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,9.47829613,,,,,,,6019,1.74,1.11,,,0.552,,1575.2
8793,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,9.47876623,,,,,,,6019,1.74,1.11,,,0.552,,1575.2
8794,Kepler-1165 b,Kepler-1165,0,1,2,0,Transit,9.47850818,,,,,,,6019,1.74,1.11,,,0.552,,1575.2
8795,Kepler-1165 c,Kepler-1165,0,1,2,0,Transit,29.9686052,0.1949,,,0,89.95,,6224,1.08,1.09,-0.06,[Fe/H],,,1575.2
8796,Kepler-1165 c,Kepler-1165,0,1,2,0,Transit,29.9686052,0.1949,,,0,89.95,,6224,1.08,1.09,-0.06,[Fe/H],,,1575.2
8797,Kepler-1165 c,Kepler-1165,0,1,2,0,Transit,29.9686205,,,,,,,6019,1.74,1.11,,,0.552,,1575.2
8798,Kepler-1165 c,Kepler-1165,0,1,2,0,Transit,29.9685917,,,,,,,6019,1.74,1.11,,,0.552,,1575.2
8799,Kepler-1165 c,Kepler-1165,1,1,2,0,Transit,29.96870041,,0.3,,,,,6249,1.08,1.13,-0.04,[Fe/H],,,1575.2
8800,Kepler-1165 c,Kepler-1165,0,1,2,0,Transit,29.9686052,0.1949,,,0,89.95,,6224,1.08,1.09,-0.06,[Fe/H],,,1575.2
8801,Kepler-1165 c,Kepler-1165,0,1,2,0,Transit,29.9685917,0.1969,,,0,89.52,,6249,1.08,1.13,-0.04,[Fe/H],,,1575.2
8802,Kepler-1165 c,Kepler-1165,0,1,2,0,Transit,29.96819,0.196,,,0,88.24,,6225,1.03,1.11,,,,0.3,1575.2
8803,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.2407985,,,,,,,5392.42,0.85,0.94,0.157,[M/H],-0.256,,634.906
8804,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.24201,0.192,,,0,88.24,,5560,1,0.85,,,,13,634.906
8805,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.2406882,0.1957,,,0,89.38,,5605,1.01,0.9,0,[Fe/H],,,634.906
8806,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.2406882,0.1957,,,0,89.38,,5605,1.01,0.9,0,[Fe/H],,,634.906
8807,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.24097603,,,,,,,5392.42,0.85,0.94,0.157,[M/H],-0.256,,634.906
8808,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.2406882,0.1957,,,0,89.38,,5605,1.01,0.9,0,[Fe/H],,,634.906
8809,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.2407985,0.1975,,,0,89.75,,5382,0.83,0.93,0.1,[Fe/H],,,634.906
8810,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,33.24044781,,,,,,,5392.42,0.85,0.94,0.157,[M/H],-0.256,,634.906
8811,Kepler-1166 b,Kepler-1166,0,1,1,0,Transit,,,0.139,,,,,5388,0.85,,,,,,634.906
8812,Kepler-1166 b,Kepler-1166,1,1,1,0,Transit,33.2406882,,0.151,,,,,5446,0.86,0.9,-0.02,[Fe/H],,4.9,634.906
8813,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,1.0039317,0.0175,,,0,89.76,,4949,0.74,0.71,-0.18,[Fe/H],,,820.905
8814,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,,,0.148,,,,,4951,0.77,,,,,,820.905
8815,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,1.0039317,,,,,,,4806,0.78,0.78,,,-0.536,,820.905
8816,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,1.00393374,0.0175,,,0,88.24,,4949,0.74,0.71,-0.18,[Fe/H],,,820.905
8817,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,1.003965,0.019,,,0,73.91,,4778,0.87,0.86,,,,,820.905
8818,Kepler-1167 b,Kepler-1167,1,1,1,0,Transit,1.00393374,,0.153,,,,,4971,0.75,0.79,-0.05,[Fe/H],,4.27,820.905
8819,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,1.00393374,0.0175,,,0,88.24,,4949,0.74,0.71,-0.18,[Fe/H],,,820.905
8820,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,1.003936,,,,,,,4806,0.78,0.78,,,-0.536,,820.905
8821,Kepler-1167 b,Kepler-1167,0,1,1,0,Transit,1.00393374,0.0175,,,0,88.24,,4949,0.74,0.71,-0.18,[Fe/H],,,820.905
8822,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,,,0.174,,,,,5165,0.68,,,,,,752.666
8823,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.8226539,0.2661,,,0,89.95,,5167,0.74,0.81,-0.18,[Fe/H],,,752.666
8824,Kepler-1168 b,Kepler-1168,1,1,1,0,Transit,55.8226539,,0.223,,,,,5157,0.82,0.87,0.13,[Fe/H],,4.27,752.666
8825,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.8228,0.267,,,0,89.38,,5159,0.71,0.81,,,,0.6,752.666
8826,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.8226539,0.2661,,,0,89.95,,5167,0.74,0.81,-0.18,[Fe/H],,,752.666
8827,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.8224775,,,,,,,4934.58,0.74,0.81,-0.142,[M/H],-0.53,,752.666
8828,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.8226539,0.2661,,,0,89.95,,5167,0.74,0.81,-0.18,[Fe/H],,,752.666
8829,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.82222394,,,,,,,4934.58,0.74,0.81,-0.142,[M/H],-0.53,,752.666
8830,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.8224422,,,,,,,4934.58,0.74,0.81,-0.142,[M/H],-0.53,,752.666
8831,Kepler-1168 b,Kepler-1168,0,1,1,0,Transit,55.8224775,0.2663,,,0,89.98,,5162,0.74,0.82,-0.18,[Fe/H],,,752.666
8832,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,6.11014294,,,,,,,5959.63,1.27,1.09,0.203,[M/H],0.262,,522.823
8833,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,,,0.084,,,,,6028,1.22,,,,,,522.823
8834,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,6.11009134,0.0681,,,0,89.38,,5971,1.24,1.13,0.16,[Fe/H],,,522.823
8835,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,6.110122,0.067,,,0,85.94,,6162,1.21,1.08,,,,4.3,522.823
8836,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,6.11009134,0.0681,,,0,89.38,,5971,1.24,1.13,0.16,[Fe/H],,,522.823
8837,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,6.11009134,0.0681,,,0,89.38,,5971,1.24,1.13,0.16,[Fe/H],,,522.823
8838,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,6.11010439,0.0709,,,0,89.16,,6213,1.2,1.27,0.36,[Fe/H],,,522.823
8839,Kepler-1169 b,Kepler-1169,0,1,1,0,Transit,6.11010439,,,,,,,5959.63,1.27,1.09,0.203,[M/H],0.262,,522.823
8840,Kepler-1169 b,Kepler-1169,1,1,1,0,Transit,6.11009134,,0.084,,,,,6191,1.23,1.24,0.26,[Fe/H],,1.38,522.823
8841,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79590048,0.1473,,,0,88.81,,6466,1.18,1.21,-0.04,[Fe/H],,,1455.57
8842,Kepler-117 b,Kepler-117,1,1,2,0,Transit,18.7959228,0.1445,0.719,0.094,0.0493,88.74,F8 V,6150,1.61,1.13,-0.04,[Fe/H],,5.3,1455.57
8843,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79590048,0.1473,,,0,88.81,,6466,1.18,1.21,-0.04,[Fe/H],,,1455.57
8844,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79590048,0.1473,,,0,88.81,,6466,1.18,1.21,-0.04,[Fe/H],,,1455.57
8845,Kepler-117 b,Kepler-117,0,1,2,0,Transit,50.790364,,,,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,,1455.57
8846,Kepler-117 b,Kepler-117,0,1,2,0,Transit,,,0.759,,,,,6085,1.62,,,,,,1455.57
8847,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79587256,,,,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,,1455.57
8848,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79591276,,,,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,,1455.57
8849,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79591276,0.1431,,,0,87.35,,6163,1.41,1.1,-0.06,[Fe/H],,,1455.57
8850,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79593028,,,,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,,1455.57
8851,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.795909,0.146,,,0,88.24,,6438,1.14,1.18,,,,0.68,1455.57
8852,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.795952,0.148,0.697,,,,,6169,1.47,,,,,,1455.57
8853,Kepler-117 b,Kepler-117,0,1,2,0,Transit,18.79590048,,0.593,,,,,6170,1.28,1.15,-0.01,[Fe/H],,3.55,1455.57
8854,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.790412,0.287,1.008,,,,,6169,1.47,,,,,,1455.57
8855,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.79034619,,0.887,,,,,6170,1.28,1.15,-0.01,[Fe/H],,3.55,1455.57
8856,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.79035891,,,,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,,1455.57
8857,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.7903912,,,,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,,1455.57
8858,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.79034648,0.2776,,,0,89.91,,6163,1.41,1.1,-0.06,[Fe/H],,,1455.57
8859,Kepler-117 c,Kepler-117,1,1,2,0,Transit,50.790391,0.2804,1.101,1.84,0.0323,89.64,F8 V,6150,1.61,1.13,-0.04,[Fe/H],,5.3,1455.57
8860,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.79034619,0.2858,,,0,89.95,,6466,1.18,1.21,-0.04,[Fe/H],,,1455.57
8861,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.79034619,0.2858,,,0,89.95,,6466,1.18,1.21,-0.04,[Fe/H],,,1455.57
8862,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.79034648,,,,,,,6100.39,1.66,1.15,-0.055,[M/H],0.538,,1455.57
8863,Kepler-117 c,Kepler-117,0,1,2,0,Transit,,,1.089,,,,,6085,1.62,,,,,,1455.57
8864,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.790563,0.284,,,0,89.38,,6438,1.14,1.18,,,,0.68,1455.57
8865,Kepler-117 c,Kepler-117,0,1,2,0,Transit,50.79034619,0.2858,,,0,89.95,,6466,1.18,1.21,-0.04,[Fe/H],,,1455.57
8866,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98969327,0.0882,,,0,89.95,,5256,0.81,0.91,0.16,[Fe/H],,,1050.45
8867,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98969327,0.0882,,,0,89.95,,5256,0.81,0.91,0.16,[Fe/H],,,1050.45
8868,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98970266,,,,,,,5004,0.9,0.83,,,-0.338,,1050.45
8869,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98965,0.088,,,0,87.66,,5065,0.74,0.91,,,,,1050.45
8870,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98973387,,,,,,,5004,0.9,0.83,,,-0.338,,1050.45
8871,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98962569,,,,,,,5004,0.9,0.83,,,-0.338,,1050.45
8872,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98970266,0.088,,,0,89.99,,5265,0.81,0.91,0.14,[Fe/H],,,1050.45
8873,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,,,0.242,,,,,5262,0.89,,,,,,1050.45
8874,Kepler-1170 b,Kepler-1170,1,1,1,0,Transit,9.98969327,,0.215,,,,,5069,0.76,0.8,-0.09,[Fe/H],,4.9,1050.45
8875,Kepler-1170 b,Kepler-1170,0,1,1,0,Transit,9.98969327,0.0882,,,0,89.95,,5256,0.81,0.91,0.16,[Fe/H],,,1050.45
8876,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.44259231,,,,,,,7014,1.84,1.54,,,0.869,,573
8877,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.44259224,0.0284,,,0,88.81,,7216,2.04,1.46,-0.36,[Fe/H],,,573
8878,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,,,0.214,,,,,7225,1.83,,,,,,573
8879,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.44259231,0.0284,,,0,86.82,,7216,2.04,1.46,-0.36,[Fe/H],,,573
8880,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.44259224,0.0284,,,0,88.81,,7216,2.04,1.46,-0.36,[Fe/H],,,573
8881,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.44259054,,,,,,,7014,1.84,1.54,,,0.869,,573
8882,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.4425953,0.03,,,0,76.2,,7222,2.23,1.65,,,,1.46,573
8883,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.44259194,,,,,,,7014,1.84,1.54,,,0.869,,573
8884,Kepler-1171 b,Kepler-1171,1,1,1,0,Transit,1.44259224,,0.228,,,,,7044,1.95,1.58,-0.01,[Fe/H],,1.35,573
8885,Kepler-1171 b,Kepler-1171,0,1,1,0,Transit,1.44259224,0.0284,,,0,88.81,,7216,2.04,1.46,-0.36,[Fe/H],,,573
8886,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.0204423,0.1716,,,0,89.38,,5806,0.9,1,-0.04,[Fe/H],,,1306.53
8887,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.0204423,0.1716,,,0,89.38,,5806,0.9,1,-0.04,[Fe/H],,,1306.53
8888,Kepler-1172 b,Kepler-1172,1,1,1,0,Transit,26.0204423,,0.285,,,,,5558,0.89,0.92,-0.04,[Fe/H],,4.37,1306.53
8889,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.0203329,0.168,,,0,88.67,,5624,1.24,0.93,0.04,[Fe/H],,,1306.53
8890,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.0204423,0.1716,,,0,89.38,,5806,0.9,1,-0.04,[Fe/H],,,1306.53
8891,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.0203329,,,,,,,5743.43,0.84,1.03,0.182,[M/H],-0.161,,1306.53
8892,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.01879744,,,,,,,5743.43,0.84,1.03,0.182,[M/H],-0.161,,1306.53
8893,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.02017992,,,,,,,5743.43,0.84,1.03,0.182,[M/H],-0.161,,1306.53
8894,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,26.0206,0.171,,,0,87.66,,5571,0.64,0.98,,,,,1306.53
8895,Kepler-1172 b,Kepler-1172,0,1,1,0,Transit,,,0.296,,,,,5626,0.91,,,,,,1306.53
8896,Kepler-1173 b,Kepler-1173,0,1,1,0,Transit,0.7698536,0.0158,,,0,82.51,,5178,0.82,0.88,0.16,[Fe/H],,,377.06
8897,Kepler-1173 b,Kepler-1173,1,1,1,0,Transit,0.7698536,,0.079,,,,,5252,0.82,0.86,0,[Fe/H],,4.79,377.06
8898,Kepler-1173 b,Kepler-1173,0,1,1,0,Transit,,,0.078,,,,,5076,0.78,,,,,,377.06
