a,f,integration_time,megno,final_e,final_theta
1.995000000000000107e+00,1.015140483302824359e+00,1.000000000000000000e+03,2.126908247581604350e+00,3.018850428761624127e-02,8.594219000345233894e+01
1.995000000000000107e+00,1.036511861898673281e+00,1.000000000000000000e+03,8.115297822525091576e+00,2.021378657910022358e-02,1.010727497353749555e+02
1.995000000000000107e+00,1.057883240494522203e+00,1.000000000000000000e+03,1.912723127062244455e+00,7.629597380728435352e-02,9.473250938085456596e+01
1.995000000000000107e+00,1.079254619090371126e+00,1.000000000000000000e+03,5.287672462990193445e+00,2.550548963488273244e-02,3.120229386586410669e+01
1.995000000000000107e+00,1.100625997686220048e+00,1.000000000000000000e+03,7.766357436753658305e+00,3.402393254549425372e-02,3.368658043703874938e+01
1.995000000000000107e+00,1.121997376282068970e+00,1.000000000000000000e+03,1.043320045330515988e+01,5.782673128434804438e-02,6.374446746677152476e+01
1.995000000000000107e+00,1.143368754877918114e+00,1.000000000000000000e+03,5.151135450441586272e+00,6.157568422545563191e-02,4.692208445107178960e+01
1.995000000000000107e+00,1.164740133473766814e+00,1.000000000000000000e+03,1.995917068889658452e+01,3.203389056878530039e-01,2.056590016143495632e+02
1.995000000000000107e+00,1.186111512069615959e+00,1.000000000000000000e+03,4.982954329931753357e+00,5.957998287508619456e-02,7.106325090257109878e+01
1.995000000000000107e+00,1.207482890665464659e+00,1.000000000000000000e+03,2.036937470560598928e+00,2.288032950327963805e-02,9.407567053649808031e+01
1.995000000000000107e+00,1.228854269261313803e+00,1.000000000000000000e+03,3.133741060682841972e+00,4.094182688368999679e-02,1.118237166463799070e+02
1.995000000000000107e+00,1.250225647857162503e+00,1.000000000000000000e+03,3.246795133652453202e+00,4.775914245954922255e-02,1.099058822317336706e+02
1.995000000000000107e+00,1.271597026453011647e+00,1.000000000000000000e+03,2.099814306376621698e+00,1.976654455941236413e-02,9.811527662420991192e+01
1.995000000000000107e+00,1.292968405048860348e+00,1.000000000000000000e+03,2.733501039025194590e+00,6.272975689393210652e-02,1.111147920783125613e+02
1.995000000000000107e+00,1.314339783644709492e+00,1.000000000000000000e+03,8.307551975520011567e+00,2.825385602165630602e-02,3.258645512874927164e+01
1.995000000000000107e+00,1.335711162240558414e+00,1.000000000000000000e+03,9.422340227834684612e+00,6.517966631886677742e-02,1.109233611790626384e+02
1.995000000000000107e+00,1.357082540836407336e+00,1.000000000000000000e+03,1.000000000000000000e+01,2.199359161660522144e+00,7.870165511110873524e+01
1.995000000000000107e+00,1.378453919432256258e+00,1.000000000000000000e+03,1.776755271594015806e+00,7.462787992178694652e-02,8.475273518288990715e+01
1.995000000000000107e+00,1.399825298028105180e+00,1.000000000000000000e+03,1.000000000000000000e+01,1.602107644113053730e+00,1.305725913788957655e+02
1.995000000000000107e+00,1.421196676623954103e+00,1.000000000000000000e+03,2.042563793810752593e+00,7.079016187630546297e-02,9.030119290689464151e+01
1.995000000000000107e+00,1.442568055219803025e+00,1.000000000000000000e+03,4.067277153049680294e+00,3.097362272632014565e-02,7.745376095875512590e+01
1.995000000000000107e+00,1.463939433815652169e+00,1.000000000000000000e+03,2.382142412015559874e+00,6.292524472242837230e-02,1.111967867216397394e+02
1.995000000000000107e+00,1.485310812411500869e+00,1.000000000000000000e+03,2.078155432306225681e+00,5.505269448091209411e-02,1.131128969904774380e+02
1.995000000000000107e+00,1.506682191007350013e+00,1.000000000000000000e+03,4.355167371327928194e+00,5.552924377227649172e-02,8.087249514500855696e+01
1.995000000000000107e+00,1.528053569603198714e+00,1.000000000000000000e+03,5.205568441744468977e+00,5.129911030374777886e-02,1.150713741284091185e+02
1.995000000000000107e+00,1.549424948199047858e+00,1.000000000000000000e+03,5.448818181798264604e+00,2.967641649429225009e-02,3.131671649856301798e+01
1.995000000000000107e+00,1.570796326794896558e+00,1.000000000000000000e+03,2.582449557727314549e+00,4.766347021320942873e-02,1.135614391780368351e+02
1.999285714285714333e+00,5.235987755982988157e-01,1.000000000000000000e+03,1.000000000000000000e+01,5.661975068286256629e+00,8.716794881449930088e+00
1.999285714285714333e+00,5.449701541941477378e-01,1.000000000000000000e+03,1.000000000000000000e+01,2.090393026083827266e+01,1.293436745417277578e+01
1.999285714285714333e+00,5.663415327899966600e-01,1.000000000000000000e+03,1.000000000000000000e+01,8.341159425786734971e+00,1.436369231632999544e+01
1.999285714285714333e+00,5.877129113858455822e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.265043915100791727e+00,2.077678359539408746e+02
1.999285714285714333e+00,6.090842899816946154e-01,1.000000000000000000e+03,1.000000000000000000e+01,7.724240917176130594e+00,1.791187686886058827e+02
1.999285714285714333e+00,6.304556685775435376e-01,1.000000000000000000e+03,3.220050708352621172e+01,8.719856018739650105e-01,2.769383055983038275e+02
1.999285714285714333e+00,6.518270471733924598e-01,1.000000000000000000e+03,1.000000000000000000e+01,5.229712622001772893e+00,1.870363086300433224e+02
1.999285714285714333e+00,6.731984257692413820e-01,1.000000000000000000e+03,1.273511102481752211e+01,4.352761881754645956e-01,2.125732808368962026e+02
1.999285714285714333e+00,6.945698043650903042e-01,1.000000000000000000e+03,3.950690747380034651e+01,4.854352486850513904e-01,9.703587679717789172e+01
1.999285714285714333e+00,7.159411829609392264e-01,1.000000000000000000e+03,4.162245104516727423e+01,7.576695416178201858e-01,1.299370852429951526e+02
1.999285714285714333e+00,7.373125615567881486e-01,1.000000000000000000e+03,1.000000000000000000e+01,4.009868056715485629e+00,2.025574724330024026e+02
1.999285714285714333e+00,7.586839401526370708e-01,1.000000000000000000e+03,5.177502364120617706e+00,7.252903238703652111e-02,1.054226260452348214e+02
1.999285714285714333e+00,7.800553187484859929e-01,1.000000000000000000e+03,2.717079703557307102e+00,5.286101316928179528e-02,9.122180881988468570e+01
1.999285714285714333e+00,8.014266973443349151e-01,1.000000000000000000e+03,2.854021424361953496e+00,3.984556456511862549e-02,9.898332331482599500e+01
1.999285714285714333e+00,8.227980759401839483e-01,1.000000000000000000e+03,2.116146002452443664e+00,1.654470041259240021e-02,1.131061478812918040e+02
1.999285714285714333e+00,8.441694545360328705e-01,1.000000000000000000e+03,5.169917405470253691e+00,3.120764013227622299e-02,2.909024024681272635e+01
1.999285714285714333e+00,8.655408331318817927e-01,1.000000000000000000e+03,2.252872484287507859e+00,7.065046884730917520e-02,7.747016929848433620e+01
1.999285714285714333e+00,8.869122117277307149e-01,1.000000000000000000e+03,2.003339394641319160e+00,5.745555525070827202e-02,6.202585545033164038e+01
1.999285714285714333e+00,9.082835903235796371e-01,1.000000000000000000e+03,2.706008495403582792e+00,3.716176926927966528e-02,9.226815991664250305e+01
1.999285714285714333e+00,9.296549689194286703e-01,1.000000000000000000e+03,5.201456956065254822e+00,5.516378149557313315e-02,4.829451330118855878e+01
1.999285714285714333e+00,9.510263475152775925e-01,1.000000000000000000e+03,6.117951877597873178e+00,5.832450901708462199e-02,5.448766884857500514e+01
1.999285714285714333e+00,9.723977261111265147e-01,1.000000000000000000e+03,2.149049399862894560e+00,4.544008540143695124e-02,8.338808085708683393e+01
1.999285714285714333e+00,9.937691047069754369e-01,1.000000000000000000e+03,7.990258313718712202e+00,4.452737963601836185e-02,4.885506362102692179e+01
1.999285714285714333e+00,1.015140483302824359e+00,1.000000000000000000e+03,1.883501890566855907e+00,6.928375516325513406e-02,7.430481570841816108e+01
1.999285714285714333e+00,1.036511861898673281e+00,1.000000000000000000e+03,1.000000000000000000e+01,1.062838805636198813e+00,1.410857045511842678e+01
1.999285714285714333e+00,1.057883240494522203e+00,1.000000000000000000e+03,4.222938323085036139e+00,7.355739326513592580e-02,9.167403334535698889e+01
1.999285714285714333e+00,1.079254619090371126e+00,1.000000000000000000e+03,2.016420294327451845e+00,2.247127846429726808e-02,6.655029732886842453e+01
1.999285714285714333e+00,1.100625997686220048e+00,1.000000000000000000e+03,3.878788116552438492e+00,8.010217953018375359e-02,9.334027388010963477e+01
1.999285714285714333e+00,1.121997376282068970e+00,1.000000000000000000e+03,2.290738608931516040e+00,4.829756014155514587e-02,6.255257736166801408e+01
1.999285714285714333e+00,1.143368754877918114e+00,1.000000000000000000e+03,2.257651969192235430e+00,5.518407675446609928e-02,7.393645571547634177e+01
1.999285714285714333e+00,1.164740133473766814e+00,1.000000000000000000e+03,2.923513361610692307e+00,6.864487745787603568e-02,1.035187197788565356e+02
1.999285714285714333e+00,1.186111512069615959e+00,1.000000000000000000e+03,2.534479007136154038e+00,6.473070530948572820e-02,1.131510017741856871e+02
1.999285714285714333e+00,1.207482890665464659e+00,1.000000000000000000e+03,2.659107548752588368e+00,3.753284269404187634e-02,3.158079237979349330e+01
1.999285714285714333e+00,1.228854269261313803e+00,1.000000000000000000e+03,2.351260472457454398e+00,5.764574480262057987e-02,7.440400722143132839e+01
1.999285714285714333e+00,1.250225647857162503e+00,1.000000000000000000e+03,2.850273502172193218e+00,6.111508701019915946e-02,5.034657810388020494e+01
1.999285714285714333e+00,1.271597026453011647e+00,1.000000000000000000e+03,3.178204487474072248e+00,5.642848038967652330e-02,8.185426109454499510e+01
1.999285714285714333e+00,1.292968405048860348e+00,1.000000000000000000e+03,3.551215374996214091e+00,6.480526501692186747e-02,7.742396366779576056e+01
1.999285714285714333e+00,1.314339783644709492e+00,1.000000000000000000e+03,3.490505611927372076e+00,4.404387821460134522e-02,9.762413940056876527e+01
1.999285714285714333e+00,1.335711162240558414e+00,1.000000000000000000e+03,2.990775649989193763e+00,7.170649843946971802e-02,1.047600308487151040e+02
1.999285714285714333e+00,1.357082540836407336e+00,1.000000000000000000e+03,1.998406123289159675e+00,4.278166816564085012e-02,1.035534941368368465e+02
1.999285714285714333e+00,1.378453919432256258e+00,1.000000000000000000e+03,2.041637016978403718e+00,5.258473900683822283e-02,1.020363978773025906e+02
1.999285714285714333e+00,1.399825298028105180e+00,1.000000000000000000e+03,1.951786009729212346e+00,5.553741506276870660e-02,1.028089173660626443e+02
1.999285714285714333e+00,1.421196676623954103e+00,1.000000000000000000e+03,2.008762000282275029e+00,5.546345644532948982e-02,1.034487822303479732e+02
1.999285714285714333e+00,1.442568055219803025e+00,1.000000000000000000e+03,1.966816574012024255e+00,5.161068999646786087e-02,1.042410084689027059e+02
1.999285714285714333e+00,1.463939433815652169e+00,1.000000000000000000e+03,2.014882930834493990e+00,2.615057484389156015e-02,1.124322899470111707e+02
1.999285714285714333e+00,1.485310812411500869e+00,1.000000000000000000e+03,3.304867626883297937e+00,5.106414820590155640e-02,8.867974801315403965e+01
1.999285714285714333e+00,1.506682191007350013e+00,1.000000000000000000e+03,4.481239656158374274e+00,3.918815685628115886e-02,3.366663906544905416e+01
1.999285714285714333e+00,1.528053569603198714e+00,1.000000000000000000e+03,2.464205448083037542e+00,3.018565187029237720e-02,7.664909438406299103e+01
1.999285714285714333e+00,1.549424948199047858e+00,1.000000000000000000e+03,2.111242368126508673e+00,3.469048124059394278e-02,8.407114434846585027e+01
1.999285714285714333e+00,1.570796326794896558e+00,1.000000000000000000e+03,2.744376860131535256e+00,5.387266747325395594e-02,1.073167896944528366e+02
2.003571428571428559e+00,5.235987755982988157e-01,1.000000000000000000e+03,1.000000000000000000e+01,8.052362427303910719e-01,1.501951618633643761e+02
2.003571428571428559e+00,5.449701541941477378e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.343203347721618091e+00,1.141348236722203779e+02
2.003571428571428559e+00,5.663415327899966600e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.701213753195308653e+00,2.009836698429164983e+02
2.003571428571428559e+00,5.877129113858455822e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.720400916462483831e+00,1.636317394195665429e+02
2.003571428571428559e+00,6.090842899816946154e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.050472963327850673e+00,1.253539957666716163e+02
2.003571428571428559e+00,6.304556685775435376e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.123776477129793783e+00,1.853474650686754899e+02
2.003571428571428559e+00,6.518270471733924598e-01,1.000000000000000000e+03,1.000000000000000000e+01,7.816666543726377148e-01,2.738277060863088650e+02
2.003571428571428559e+00,6.731984257692413820e-01,1.000000000000000000e+03,1.000000000000000000e+01,8.504902628588167701e+00,2.515503143866135076e+02
2.003571428571428559e+00,6.945698043650903042e-01,1.000000000000000000e+03,1.000000000000000000e+01,7.474122639419320535e+01,7.077943411719598998e+01
2.003571428571428559e+00,7.159411829609392264e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.347675283841585969e+00,1.671680131922647305e+01
2.003571428571428559e+00,7.373125615567881486e-01,1.000000000000000000e+03,3.793552780866763730e+00,5.549936239115273173e-02,1.074432920192685827e+02
2.003571428571428559e+00,7.586839401526370708e-01,1.000000000000000000e+03,2.099671460284782576e+00,6.452379034209090869e-02,9.925421759344243355e+01
2.003571428571428559e+00,7.800553187484859929e-01,1.000000000000000000e+03,2.061732276065923131e+00,1.606512151018077081e-02,1.160302730125011976e+02
2.003571428571428559e+00,8.014266973443349151e-01,1.000000000000000000e+03,2.047283321904882047e+00,4.903529225207572256e-02,9.476495832609326442e+01
2.003571428571428559e+00,8.227980759401839483e-01,1.000000000000000000e+03,5.928659926388809787e+00,2.179872084504523924e-02,9.652488773882799933e+01
2.003571428571428559e+00,8.441694545360328705e-01,1.000000000000000000e+03,2.011249846014721232e+00,3.563933670679640675e-02,1.135549432872362843e+02
2.003571428571428559e+00,8.655408331318817927e-01,1.000000000000000000e+03,5.891637627496743690e+00,8.415675259063806757e-02,1.367469802414933326e+02
2.003571428571428559e+00,8.869122117277307149e-01,1.000000000000000000e+03,1.000000000000000000e+01,2.116938031685775989e+00,1.936754841541193173e+01
2.003571428571428559e+00,9.082835903235796371e-01,1.000000000000000000e+03,1.100452863713104676e+02,6.788440223114881045e-01,2.189747230511457019e+02
2.003571428571428559e+00,9.296549689194286703e-01,1.000000000000000000e+03,3.430996576537777454e+00,7.255799957420137891e-02,9.726958290172282773e+01
2.003571428571428559e+00,9.510263475152775925e-01,1.000000000000000000e+03,3.056295541000479510e+00,7.947855438401436878e-02,1.181521735063884790e+02
2.003571428571428559e+00,9.723977261111265147e-01,1.000000000000000000e+03,3.117513848276603383e+00,6.768841118033608328e-02,8.378622719603552582e+01
2.003571428571428559e+00,9.937691047069754369e-01,1.000000000000000000e+03,2.037058116043159117e+00,7.934686084091596703e-02,9.837826184523831330e+01
2.003571428571428559e+00,1.015140483302824359e+00,1.000000000000000000e+03,1.881243918698767281e+00,7.908493798798087171e-02,9.471858651230232340e+01
2.003571428571428559e+00,1.036511861898673281e+00,1.000000000000000000e+03,2.008430360154265237e+00,7.441554663611495146e-02,8.285816685881084709e+01
2.003571428571428559e+00,1.057883240494522203e+00,1.000000000000000000e+03,2.164142858817011295e+00,7.176974761721907625e-02,9.594950642956263209e+01
2.003571428571428559e+00,1.079254619090371126e+00,1.000000000000000000e+03,3.853053914137845037e+00,5.710724554782425216e-02,4.099362693038173688e+01
2.003571428571428559e+00,1.100625997686220048e+00,1.000000000000000000e+03,2.027580927246080744e+00,7.938304663311547549e-02,9.529504705269073384e+01
2.003571428571428559e+00,1.121997376282068970e+00,1.000000000000000000e+03,2.461932377938583105e+00,6.390391759177822817e-02,8.276548740090350975e+01
2.003571428571428559e+00,1.143368754877918114e+00,1.000000000000000000e+03,2.053567594350043990e+00,7.629538145007352945e-02,8.746629430498650493e+01
2.003571428571428559e+00,1.164740133473766814e+00,1.000000000000000000e+03,2.037890361522286753e+00,6.964142328065923981e-02,7.281567952776512698e+01
2.003571428571428559e+00,1.186111512069615959e+00,1.000000000000000000e+03,2.266820832705742195e+00,6.260986091453552005e-02,5.129624096234155672e+01
2.003571428571428559e+00,1.207482890665464659e+00,1.000000000000000000e+03,2.030831769635574879e+00,7.488692937851233744e-02,9.642952672555583149e+01
2.003571428571428559e+00,1.228854269261313803e+00,1.000000000000000000e+03,2.023379367751869662e+00,7.474402124682189008e-02,9.652707088441042060e+01
2.003571428571428559e+00,1.250225647857162503e+00,1.000000000000000000e+03,2.043487155692583990e+00,7.443352537427036508e-02,9.673339131812613800e+01
2.003571428571428559e+00,1.271597026453011647e+00,1.000000000000000000e+03,1.997931399990594992e+00,6.924829086864854599e-02,9.758522508911869409e+01
2.003571428571428559e+00,1.292968405048860348e+00,1.000000000000000000e+03,1.000000000000000000e+01,9.888769674582679192e-01,7.102759193184162712e+01
2.003571428571428559e+00,1.314339783644709492e+00,1.000000000000000000e+03,2.904762504256266809e+00,5.922434324511346299e-02,9.757224624320657824e+01
2.003571428571428559e+00,1.335711162240558414e+00,1.000000000000000000e+03,1.000000000000000000e+01,1.531078821917865795e+01,2.834024412445633061e+02
2.003571428571428559e+00,1.357082540836407336e+00,1.000000000000000000e+03,5.669973266445417437e+00,6.185529293240742826e-02,1.318298972394006796e+02
2.003571428571428559e+00,1.378453919432256258e+00,1.000000000000000000e+03,2.826775027051838585e+00,4.507949693866886154e-02,5.427152173394542700e+01
2.003571428571428559e+00,1.399825298028105180e+00,1.000000000000000000e+03,5.805652224443913489e+00,5.222696676311236463e-02,1.036632673240561076e+02
2.003571428571428559e+00,1.421196676623954103e+00,1.000000000000000000e+03,1.000000000000000000e+01,1.039868423102525252e+00,9.264876992209983086e+01
2.003571428571428559e+00,1.442568055219803025e+00,1.000000000000000000e+03,4.782320033509047441e+00,6.380193086828366000e-02,7.774009789185495833e+01
2.003571428571428559e+00,1.463939433815652169e+00,1.000000000000000000e+03,1.887685182397454531e+00,5.563934376282133470e-02,1.028676296558877539e+02
2.003571428571428559e+00,1.485310812411500869e+00,1.000000000000000000e+03,2.018435132203589166e+00,5.929385080023549803e-02,1.012870441613364392e+02
2.003571428571428559e+00,1.506682191007350013e+00,1.000000000000000000e+03,1.999115823839960449e+00,5.687042346258497361e-02,1.004786843921749266e+02
2.003571428571428559e+00,1.528053569603198714e+00,1.000000000000000000e+03,1.915265686955734070e+00,5.391185289183127866e-02,1.002485083228196316e+02
2.003571428571428559e+00,1.549424948199047858e+00,1.000000000000000000e+03,1.642477251015796780e+00,4.111910467709502248e-02,1.017864732557811465e+02
2.003571428571428559e+00,1.570796326794896558e+00,1.000000000000000000e+03,2.007763481696524632e+00,6.256317923547245752e-02,1.059165588777442508e+02
2.007857142857143007e+00,5.235987755982988157e-01,1.000000000000000000e+03,1.000000000000000000e+01,1.381954324528676992e+01,1.523001280239959669e+02
2.007857142857143007e+00,5.449701541941477378e-01,1.000000000000000000e+03,1.000000000000000000e+01,3.083270302232334448e+00,3.140162579214431844e+02
2.007857142857143007e+00,5.663415327899966600e-01,1.000000000000000000e+03,1.000000000000000000e+01,8.518839818553298748e-01,2.468481947249595123e+02
2.007857142857143007e+00,5.877129113858455822e-01,1.000000000000000000e+03,-3.972326489186264808e+01,5.987616501145275327e-01,1.268372546720681271e+01
2.007857142857143007e+00,6.090842899816946154e-01,1.000000000000000000e+03,1.000000000000000000e+01,6.452224530696614835e+00,1.255014836739992390e+01
2.007857142857143007e+00,6.304556685775435376e-01,1.000000000000000000e+03,1.000000000000000000e+01,9.377721375018489569e-01,1.233762786938389695e+02
2.007857142857143007e+00,6.518270471733924598e-01,1.000000000000000000e+03,1.000000000000000000e+01,9.547918171943993171e-01,2.953383655748003989e+01
2.007857142857143007e+00,6.731984257692413820e-01,1.000000000000000000e+03,1.000000000000000000e+01,2.042993150442069972e+00,3.454487582278027276e+02
2.007857142857143007e+00,6.945698043650903042e-01,1.000000000000000000e+03,1.471410420836457966e+01,5.483015144604378444e-01,7.522856540858371943e+01
2.007857142857143007e+00,7.159411829609392264e-01,1.000000000000000000e+03,1.372519645672537258e+01,1.043949711812051373e-01,9.980390889607490124e+01
2.007857142857143007e+00,7.373125615567881486e-01,1.000000000000000000e+03,2.117119563679628502e+00,6.918445620477205703e-03,2.763749153654683965e+01
2.007857142857143007e+00,7.586839401526370708e-01,1.000000000000000000e+03,2.024875227649083786e+00,5.757238737790761063e-02,9.246146820477510175e+01
2.007857142857143007e+00,7.800553187484859929e-01,1.000000000000000000e+03,2.002310570997303696e+00,5.498047602769524228e-02,9.217585424927351312e+01
2.007857142857143007e+00,8.014266973443349151e-01,1.000000000000000000e+03,2.055325371512683130e+00,6.354041774925700548e-02,4.938539872454175850e+01
2.007857142857143007e+00,8.227980759401839483e-01,1.000000000000000000e+03,2.485849016379477749e+00,7.165185720456308804e-02,8.906445294762166043e+01
2.007857142857143007e+00,8.441694545360328705e-01,1.000000000000000000e+03,2.079375599477340408e+00,4.843362303953143572e-02,1.099554423631128088e+02
2.007857142857143007e+00,8.655408331318817927e-01,1.000000000000000000e+03,1.997107474119978798e+00,6.794746809882394600e-02,7.156923143134078202e+01
2.007857142857143007e+00,8.869122117277307149e-01,1.000000000000000000e+03,2.711745758541034057e+00,5.903735757412859053e-02,1.174320293874062457e+02
2.007857142857143007e+00,9.082835903235796371e-01,1.000000000000000000e+03,2.932496210449155871e+00,7.967381359572076049e-02,1.082020803694054933e+02
2.007857142857143007e+00,9.296549689194286703e-01,1.000000000000000000e+03,2.971605600227286370e+00,4.278407714237354026e-02,3.187094010431390245e+01
2.007857142857143007e+00,9.510263475152775925e-01,1.000000000000000000e+03,2.004238826144607799e+00,5.920111798890000110e-02,7.104494605706189247e+01
2.007857142857143007e+00,9.723977261111265147e-01,1.000000000000000000e+03,1.931195344293012095e+00,5.379105065716962425e-02,3.688391354952394607e+01
2.007857142857143007e+00,9.937691047069754369e-01,1.000000000000000000e+03,2.062710822468984073e+00,3.442026285745115183e-02,7.894944290477914706e+01
2.007857142857143007e+00,1.015140483302824359e+00,1.000000000000000000e+03,2.053223194933917917e+00,2.806435309091297875e-02,7.916474644915892611e+01
2.007857142857143007e+00,1.036511861898673281e+00,1.000000000000000000e+03,2.266348237926173237e+00,7.262292633413446052e-02,1.059141525459185829e+02
2.007857142857143007e+00,1.057883240494522203e+00,1.000000000000000000e+03,2.086918936024240168e+00,7.505700656541047788e-02,1.174002710426938876e+02
2.007857142857143007e+00,1.079254619090371126e+00,1.000000000000000000e+03,1.756402741188531680e+00,8.039558871744238722e-02,9.796459788978775407e+01
2.007857142857143007e+00,1.100625997686220048e+00,1.000000000000000000e+03,3.585366510796689443e+00,7.291677146988276292e-02,1.101843843835219729e+02
2.007857142857143007e+00,1.121997376282068970e+00,1.000000000000000000e+03,2.169965054967441187e+00,7.257687445905189327e-02,1.041370049014442571e+02
2.007857142857143007e+00,1.143368754877918114e+00,1.000000000000000000e+03,2.013826670558388265e+00,7.484434642457898912e-02,8.611788248592370110e+01
2.007857142857143007e+00,1.164740133473766814e+00,1.000000000000000000e+03,2.225756460018992300e+00,8.441722833147989602e-02,1.133771374291169991e+02
2.007857142857143007e+00,1.186111512069615959e+00,1.000000000000000000e+03,2.087395361558000317e+00,8.318381981407795001e-02,1.006391753875939656e+02
2.007857142857143007e+00,1.207482890665464659e+00,1.000000000000000000e+03,2.059462064002657744e+00,7.373848297696232457e-02,8.643354908845482498e+01
2.007857142857143007e+00,1.228854269261313803e+00,1.000000000000000000e+03,2.675498953975354421e+00,8.671007279579749649e-02,1.052833235212358716e+02
2.007857142857143007e+00,1.250225647857162503e+00,1.000000000000000000e+03,2.555712979385944550e+00,7.965987484219755332e-02,9.809719780456106264e+01
2.007857142857143007e+00,1.271597026453011647e+00,1.000000000000000000e+03,2.118165695731640596e+00,4.905021187286294493e-02,1.167415749135723786e+02
2.007857142857143007e+00,1.292968405048860348e+00,1.000000000000000000e+03,1.934326210334206930e+00,7.122159425715858527e-02,9.649367485493893071e+01
2.007857142857143007e+00,1.314339783644709492e+00,1.000000000000000000e+03,2.011794953143357212e+00,7.126583014004654604e-02,9.667703026784077736e+01
2.007857142857143007e+00,1.335711162240558414e+00,1.000000000000000000e+03,3.195643309023263434e+00,4.128188988435468887e-02,7.953202948128296157e+01
2.007857142857143007e+00,1.357082540836407336e+00,1.000000000000000000e+03,1.000000000000000000e+01,3.512060725166553432e+00,1.262756887270341224e+02
2.007857142857143007e+00,1.378453919432256258e+00,1.000000000000000000e+03,1.887709214969093718e+00,6.370765249387330686e-02,5.780181346847910362e+01
2.007857142857143007e+00,1.399825298028105180e+00,1.000000000000000000e+03,2.901035026087032342e+00,5.168802045018916491e-02,3.556969735810407229e+01
2.007857142857143007e+00,1.421196676623954103e+00,1.000000000000000000e+03,2.018513562141497353e+00,6.816310797773783570e-02,1.035576996340686691e+02
