a2,f2,megno2,final_e2,final_theta2
9.879999999999999893e-01,5.235987755982988157e-01,1.000000000000000000e+01,5.170576549735183391e+01,6.345996296480464594e+01
9.879999999999999893e-01,5.449701541941477378e-01,1.000000000000000000e+01,1.636557802202332823e+00,2.092355594672532391e+02
9.879999999999999893e-01,5.663415327899966600e-01,1.000000000000000000e+01,1.036640489789711461e+00,6.393623724848167456e+01
9.879999999999999893e-01,5.877129113858455822e-01,3.434572992794248592e+01,7.947222054486374754e-01,1.006700580116717987e+02
9.879999999999999893e-01,6.090842899816946154e-01,1.000000000000000000e+01,6.335085026145729437e+00,1.164067449158013119e+02
9.879999999999999893e-01,6.304556685775435376e-01,1.000000000000000000e+01,1.109582869205953060e+01,9.021713759408014255e+01
9.879999999999999893e-01,6.518270471733924598e-01,1.000000000000000000e+01,6.335416296599045261e+00,2.928787411646102257e+01
9.879999999999999893e-01,6.731984257692413820e-01,1.000000000000000000e+01,1.025867831710657985e+00,7.497254708510119769e+01
9.879999999999999893e-01,6.945698043650903042e-01,1.482809090433933306e+03,9.706660463230678548e-01,4.966032318800441203e+01
9.879999999999999893e-01,7.159411829609392264e-01,1.000000000000000000e+01,1.493561581319144871e+01,8.836737398519525755e+01
9.879999999999999893e-01,7.373125615567881486e-01,1.000000000000000000e+01,1.374087192958874715e+00,3.168252925928366537e+01
9.879999999999999893e-01,7.586839401526370708e-01,1.000000000000000000e+01,9.846310554360006018e-01,2.449818106899280679e+01
9.879999999999999893e-01,7.800553187484859929e-01,1.000000000000000000e+01,1.164537420464127226e+00,2.676367856339006721e+02
9.879999999999999893e-01,8.014266973443349151e-01,1.000000000000000000e+01,1.052474013214492521e+00,6.801716570942771511e+01
9.879999999999999893e-01,8.227980759401839483e-01,1.000000000000000000e+01,3.401064852938626260e+00,4.024953881870332140e+01
9.879999999999999893e-01,8.441694545360328705e-01,2.774700562719729078e+02,2.632735822537952686e-01,1.008320713810265445e+01
9.879999999999999893e-01,8.655408331318817927e-01,1.000000000000000000e+01,2.848944536064180397e+02,1.483033026345096772e+01
9.879999999999999893e-01,8.869122117277307149e-01,1.000000000000000000e+01,1.668112361264551646e+00,2.101455014164404531e+02
9.879999999999999893e-01,9.082835903235796371e-01,1.000000000000000000e+01,1.890750460760908913e+00,1.287537710119758003e+02
9.879999999999999893e-01,9.296549689194286703e-01,1.000000000000000000e+01,9.856476556401564393e-01,9.714809228299796473e+01
9.879999999999999893e-01,9.510263475152775925e-01,1.000000000000000000e+01,4.013199594184629682e+00,1.650816246880754647e+02
