a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,stable1,stable2
0.988,0.5235987755982988,10.0,5.09089654573124,13.260718350534558,0.988,0.5235987755982988,10.0,2.2619499407847328,35.69231270268972,0,0
0.988,0.5449701541941476,10.0,1.5032375432090084,73.27377011481374,0.988,0.5449701541941476,10.0,9.083538428213945,91.00366404563056,0,0
0.988,0.5663415327899968,10.0,0.8996011160974117,128.06839113462453,0.988,0.5663415327899968,10.0,4.627600106883442,1.7729840918132342,0,0
0.988,0.5877129113858456,10.0,0.9223297630653783,97.79614570933816,0.988,0.5877129113858456,10.0,0.8823511338745365,33.72813387541995,0,0
0.988,0.6090842899816946,10.0,6.246931773708376,3.694585249290921,0.988,0.6090842899816946,10.0,5.564133616530934,18.499856669145764,0,0
0.988,0.6304556685775435,10.0,1.2491405601825711,27.1303483882644,0.988,0.6304556685775435,10.0,0.9090535244280099,85.36331300909158,0,0
0.988,0.6518270471733925,10.0,1.0888111574039925,131.07266732373515,0.988,0.6518270471733925,10.0,1.0400073004201815,308.8195398501623,0,0
0.988,0.6731984257692414,10.0,8.334208006945406,104.2323003717579,0.988,0.6731984257692414,10.0,1.000549430031074,39.62334141858098,0,0
0.988,0.6945698043650903,10.0,233.08138706530465,197.22102216733467,0.988,0.6945698043650903,10.0,3.2883485044591128,121.59900965325848,0,0
0.988,0.7159411829609392,10.0,13.76613620733134,157.2592987960496,0.988,0.7159411829609392,10.0,1.323131384689324,80.20095925142982,0,0
0.988,0.7373125615567881,10.0,0.9390234589813939,157.49366226914063,0.988,0.7373125615567881,10.0,2.2034867000747993,39.807220373635246,0,0
0.988,0.758683940152637,10.0,1.1134881704342705,41.53718661723124,0.988,0.758683940152637,10.0,2.347134344122416,295.96963778322686,0,0
0.988,0.7800553187484861,10.0,3.627524147349329,171.1549090877473,0.988,0.7800553187484861,10.0,1.2998532805804208,54.13151224216034,0,0
0.988,0.8014266973443349,10.0,3.2916273787082506,211.74451547900492,0.988,0.8014266973443349,10.0,1.225129136751494,131.4541582412056,0,0
0.988,0.8227980759401838,10.0,57.75496496930832,54.576663045351786,0.988,0.8227980759401838,10.0,0.9195183024248914,57.92030851875941,0,0
0.988,0.8441694545360328,10.0,1.357122466155148,72.38422626236817,0.988,0.8441694545360328,10.0,2.313589405984134,219.88335126123528,0,0
0.988,0.8655408331318819,10.0,0.9751216850664093,16.445651599177392,0.988,0.8655408331318819,10.0,0.9755018492737793,220.58153009670184,0,0
0.988,0.8869122117277307,10.0,1.5365020016407829,260.533606435845,0.988,0.8869122117277307,10.0,2.123607838924824,57.21912025146639,0,0
0.988,0.9082835903235795,10.0,0.9414005002494243,282.3438963713232,0.988,0.9082835903235795,10.0,0.7534183649945028,201.19557826627303,0,0
0.988,0.9296549689194287,10.0,2.0669045614607207,65.87883364555013,0.988,0.9296549689194287,10.0,1.038357807036006,154.22942307945155,0,0
0.988,0.9510263475152778,10.0,23.76625660839296,97.98755717926176,0.988,0.9510263475152778,10.0,0.9050360262989363,48.2988616111875,0,0
0.988,0.9723977261111264,10.0,1.2485661872734133,36.31682078903702,0.988,0.9723977261111264,10.0,270.3470468356134,11.837616843542452,0,0
0.988,0.9937691047069753,10.0,3.189649164777563,164.07096094295576,0.988,0.9937691047069753,10.0,1.0016701329813336,166.20361901266529,0,0
0.988,1.0151404833028244,10.0,30.730431999936695,42.710305687552875,0.988,1.0151404833028244,10.0,0.9332262633593963,222.0421013007988,0,0
0.988,1.0365118618986733,10.0,0.9999833365696816,112.32805061772112,0.988,1.0365118618986733,10.0,3.5909016110886887,161.4368748864893,0,0
0.988,1.0578832404945222,10.0,1.022176172792577,159.44021743056544,0.988,1.0578832404945222,10.0,10.136850366540504,251.47715203856208,0,0
0.988,1.0792546190903711,10.0,4.430919213115237,64.10953942933185,0.988,1.0792546190903711,10.0,1.2710643176335916,87.15787955370152,0,0
