Planet configurations,Stable Fraction,Centroid Point
47 UMa - 1 planet,0.774,"(2.1067873754152826, 64.09650371776618)"
47 UMa - 2 planets,0.4024,"(2.103365521158762, 67.62445733760703)"
47 UMa - 3 planets,0.414,"(2.103737060041408, 67.5734989648033)"
HD 108874 - 1 planet,0.3812,"(1.0432037175835707, 66.68972310855087)"
HD 108874 - 2 planets,0.2636,"(1.041840636709919, 68.88637700907374)"
