a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,a3,f3,megno3,final_e3,final_theta3,stable1,stable2,stable3
1.995,0.5235987755982988,10.0,1.9324957113326968,56.70072259217352,1.995,0.5235987755982988,1831.4988795041331,0.956735715521715,36.42423417385103,1.995,0.5235987755982988,10.0,15.324632704753759,150.4938438596108,0,0,0
1.995,0.5449701541941476,10.0,1.1208856012844657,137.464239840091,1.995,0.5449701541941476,10.0,1.990847738325298,70.42632772180004,1.995,0.5449701541941476,10.0,1.2154533116465445,168.62358614669523,0,0,0
1.995,0.5663415327899968,10.0,0.8547886654366582,32.58509357572627,1.995,0.5663415327899968,10.0,1.5508393937123055,18.587973225799093,1.995,0.5663415327899968,10.0,4.355575575537018,168.16359091826484,0,0,0
1.995,0.5877129113858456,10.0,0.898162152320792,12.48405643903684,1.995,0.5877129113858456,10.0,0.7864289035605874,29.4405638729665,1.995,0.5877129113858456,10.0,0.9198245104833865,152.82473876625687,0,0,0
1.995,0.6090842899816946,10.0,0.9212520447388973,203.0787398596736,1.995,0.6090842899816946,10.0,0.9986817305959464,92.57070341456557,1.995,0.6090842899816946,10.0,1.1971794404834635,126.78620711783608,0,0,0
1.995,0.6304556685775435,10.0,3.9931737534128335,67.250403374462,1.995,0.6304556685775435,172.61230601377727,0.9572251253455678,326.3557090857964,1.995,0.6304556685775435,10.0,1.3969566371767907,54.99195593123492,0,0,0
1.995,0.6518270471733925,10.0,3.295259178508221,132.657478119733,1.995,0.6518270471733925,10.0,6.762915953239204,15.012803479080944,1.995,0.6518270471733925,10.0,7.609710921891069,119.30996040872579,0,0,0
1.995,0.6731984257692414,10.0,0.998995111876348,72.74401551615766,1.995,0.6731984257692414,10.0,1.828500429812577,22.14258749200812,1.995,0.6731984257692414,10.0,2.6435764237644106,204.49605163731013,0,0,0
1.995,0.6945698043650903,10.0,1.1894530959327299,125.43871708900618,1.995,0.6945698043650903,10.0,0.8589861957359285,27.046758370229742,1.995,0.6945698043650903,10.0,0.836530740690766,122.67551895251081,0,0,0
1.995,0.7159411829609392,10.0,1.2619021214014567,189.10470586691127,1.995,0.7159411829609392,31.218904340734063,0.05380542757814546,255.42071459035952,1.995,0.7159411829609392,10.0,2.5978912655849604,92.19864068791274,0,0,0
1.995,0.7373125615567881,10.0,337.3771698424917,190.50190440783464,1.995,0.7373125615567881,10.0,1.1022304334211133,11.856314354916169,1.995,0.7373125615567881,10.0,660.8399709697995,174.23171803642134,0,0,0
1.995,0.758683940152637,10.0,0.9500774394464461,168.207538726362,1.995,0.758683940152637,10.0,0.9258000840503726,221.3334582124214,1.995,0.758683940152637,10.0,1.4892386739509496,307.2971727164045,0,0,0
1.995,0.7800553187484861,10.0,1.0281123091865234,23.27075729500392,1.995,0.7800553187484861,10.0,1.3265616389324917,226.22360922550965,1.995,0.7800553187484861,13.578876037447674,0.07185054102466071,96.39535811109644,0,0,0
1.995,0.8014266973443349,10.0,0.973973630976078,50.21640570088091,1.995,0.8014266973443349,10.0,3.2306435615923768,214.8934888196329,1.995,0.8014266973443349,10.0,1.0470875326043718,151.20427348639356,0,0,0
1.995,0.8227980759401838,4.2308362067324445,0.041198644498701434,113.4379682343096,1.995,0.8227980759401838,-35.29483872482158,0.6705088068664944,150.05194714914535,1.995,0.8227980759401838,10.0,21.24032114362555,214.4395002632615,0,0,0
1.995,0.8441694545360328,8.364039781554032,0.04415539685965417,109.53999670938477,1.995,0.8441694545360328,9.601078104744978,0.04812554645775328,114.70166825042176,1.995,0.8441694545360328,3.129718084328276,0.0487563600049079,31.543991434620715,0,0,0
1.995,0.8655408331318819,10.351104804697602,0.02930641144700935,75.58299336270724,1.995,0.8655408331318819,16.889509754338984,0.7668883334231585,77.7749058753956,1.995,0.8655408331318819,4.467198306243951,0.03485225159964123,29.424973699291407,0,0,0
1.995,0.8869122117277307,7.362637459970677,0.015395982567040887,51.756104858224234,1.995,0.8869122117277307,10.0,1.8519375740812047,29.2123043682511,1.995,0.8869122117277307,10.0,1.0012796866004388,127.78102799229804,0,0,0
1.995,0.9082835903235795,13.310024519885227,0.03994289579450958,29.465271167084797,1.995,0.9082835903235795,9.598437398322355,0.07829964135988805,94.47159073753716,1.995,0.9082835903235795,10.0,3.826230200811686,122.56657438511814,0,0,0
1.995,0.9296549689194287,5.8795748833117125,0.006991036362658391,56.53309350662487,1.995,0.9296549689194287,7.943941312589742,0.06717832946003938,121.62933111993247,1.995,0.9296549689194287,9.848963220920174,0.08328783872755105,98.96986135455569,0,0,0
1.995,0.9510263475152778,10.0,1.0580891333656244,12.288396558639716,1.995,0.9510263475152778,10.0,13.764216401464568,92.57015106981517,1.995,0.9510263475152778,8.878393051131077,0.07127400087743663,98.26501520655738,0,0,0
1.995,0.9723977261111264,4.126876702802068,0.042638723715438046,37.17634389487923,1.995,0.9723977261111264,3.21867301803772,0.05960537123374953,77.91569791935831,1.995,0.9723977261111264,2.3423318473983206,0.06571474118135757,34.82469172364959,0,0,0
1.995,0.9937691047069753,7.922064544377512,0.03480602854339215,26.81118047655314,1.995,0.9937691047069753,2.7570890178016065,0.07462259427543651,48.26434900825154,1.995,0.9937691047069753,10.0,1.1366356394914987,254.80646281032168,0,0,0
