a2,f2,megno2,final_e2,final_theta2
1.995000000000000107e+00,5.235987755982988157e-01,1.831498879504133583e+03,9.567357155217149911e-01,3.642423417385102624e+01
1.995000000000000107e+00,5.449701541941477378e-01,1.000000000000000000e+01,1.990847738325298044e+00,7.042632772180003542e+01
1.995000000000000107e+00,5.663415327899966600e-01,1.000000000000000000e+01,1.550839393712305725e+00,1.858797322579909306e+01
1.995000000000000107e+00,5.877129113858455822e-01,1.000000000000000000e+01,7.864289035605873668e-01,2.944056387296650001e+01
1.995000000000000107e+00,6.090842899816946154e-01,1.000000000000000000e+01,9.986817305959465596e-01,9.257070341456555695e+01
1.995000000000000107e+00,6.304556685775435376e-01,1.726123060137772711e+02,9.572251253455676956e-01,3.263557090857963772e+02
1.995000000000000107e+00,6.518270471733924598e-01,1.000000000000000000e+01,6.762915953239203581e+00,1.501280347908094370e+01
1.995000000000000107e+00,6.731984257692413820e-01,1.000000000000000000e+01,1.828500429812577321e+00,2.214258749200811849e+01
1.995000000000000107e+00,6.945698043650903042e-01,1.000000000000000000e+01,8.589861957359284927e-01,2.704675837022974605e+01
1.995000000000000107e+00,7.159411829609392264e-01,3.121890434073406340e+01,5.380542757814545801e-02,2.554207145903595233e+02
1.995000000000000107e+00,7.373125615567881486e-01,1.000000000000000000e+01,1.102230433421113265e+00,1.185631435491616870e+01
1.995000000000000107e+00,7.586839401526370708e-01,1.000000000000000000e+01,9.258000840503723960e-01,2.213334582124214194e+02
1.995000000000000107e+00,7.800553187484859929e-01,1.000000000000000000e+01,1.326561638932491682e+00,2.262236092255096480e+02
1.995000000000000107e+00,8.014266973443349151e-01,1.000000000000000000e+01,3.230643561592377200e+00,2.148934888196328643e+02
1.995000000000000107e+00,8.227980759401839483e-01,-3.529483872482158091e+01,6.705088068664943890e-01,1.500519471491453771e+02
1.995000000000000107e+00,8.441694545360328705e-01,9.601078104744978248e+00,4.812554645775328488e-02,1.147016682504217755e+02
1.995000000000000107e+00,8.655408331318817927e-01,1.688950975433898449e+01,7.668883334231585414e-01,7.777490587539558931e+01
1.995000000000000107e+00,8.869122117277307149e-01,1.000000000000000000e+01,1.851937574081204740e+00,2.921230436825110033e+01
1.995000000000000107e+00,9.082835903235796371e-01,9.598437398322355207e+00,7.829964135988805307e-02,9.447159073753715575e+01
1.995000000000000107e+00,9.296549689194286703e-01,7.943941312589743120e+00,6.717832946003937655e-02,1.216293311199324734e+02
1.995000000000000107e+00,9.510263475152775925e-01,1.000000000000000000e+01,1.376421640146456937e+01,9.257015106981516794e+01
1.995000000000000107e+00,9.723977261111265147e-01,3.218673018037719658e+00,5.960537123374953089e-02,7.791569791935830835e+01
1.995000000000000107e+00,9.937691047069754369e-01,2.757089017801606534e+00,7.462259427543652124e-02,4.826434900825154983e+01
1.995000000000000107e+00,1.015140483302824359e+00,1.383145591115827067e+01,6.517795925528223622e-01,1.114571537712785840e+02
1.995000000000000107e+00,1.036511861898673281e+00,1.000000000000000000e+01,8.880720040033172058e-01,1.425623179209200089e+02
1.995000000000000107e+00,1.057883240494522203e+00,2.065558785523877727e+00,4.570904529979521319e-02,5.817423778834692172e+01
1.995000000000000107e+00,1.079254619090371126e+00,1.671277217046178265e+01,5.111021274637893297e-02,1.049122168836518796e+02
1.995000000000000107e+00,1.100625997686220048e+00,1.000000000000000000e+01,6.383124454689750316e+00,1.102128172663062067e+01
1.995000000000000107e+00,1.121997376282068970e+00,1.000000000000000000e+01,9.448212618482017433e+02,1.012361079794429202e+02
1.995000000000000107e+00,1.143368754877918114e+00,7.734365282556950660e+00,1.125465789312862647e-01,8.026469318635587058e+01
1.995000000000000107e+00,1.164740133473766814e+00,1.000000000000000000e+01,9.837189960070873429e-01,2.126663997372262145e+02
1.995000000000000107e+00,1.186111512069615959e+00,6.878581286830527830e+00,4.005394917758425127e-02,9.965079909517928058e+01
1.995000000000000107e+00,1.207482890665464659e+00,6.022618601876175148e+01,6.764616121464828158e-01,1.382526217919234668e+01
1.995000000000000107e+00,1.228854269261313803e+00,8.815297583323031816e+00,4.187036904777243634e-02,9.297624407334107843e+01
1.995000000000000107e+00,1.250225647857162503e+00,1.000000000000000000e+01,8.758320094586659055e-01,2.199246236017224021e+01
1.995000000000000107e+00,1.271597026453011647e+00,1.000000000000000000e+01,1.701930344421857644e+00,1.822617525778797765e+00
1.995000000000000107e+00,1.292968405048860348e+00,1.000000000000000000e+01,4.310189449637270087e+01,1.492091406788686356e+02
1.995000000000000107e+00,1.314339783644709492e+00,1.000000000000000000e+01,7.489202173763680470e-01,1.321390035843076021e+02
1.995000000000000107e+00,1.335711162240558414e+00,1.218275870566363928e+01,6.715724269825515402e-02,8.761882002139577708e+01
1.995000000000000107e+00,1.357082540836407336e+00,1.000000000000000000e+01,2.199359161660522144e+00,7.870165511110873524e+01
1.995000000000000107e+00,1.378453919432256258e+00,2.175914351182489437e+00,8.407408199671291549e-02,8.826014412963606048e+01
1.995000000000000107e+00,1.399825298028105180e+00,1.000000000000000000e+01,1.602107644113053730e+00,1.305725913788957655e+02
1.995000000000000107e+00,1.421196676623954103e+00,1.000000000000000000e+01,3.013950596964527495e+00,1.005064179939563758e+02
1.995000000000000107e+00,1.442568055219803025e+00,7.206184279804222825e+00,3.563099384497023930e-02,1.916669648090474425e+02
1.995000000000000107e+00,1.463939433815652169e+00,1.000000000000000000e+01,1.325135176236064138e+00,1.997041640254351478e+02
1.995000000000000107e+00,1.485310812411500869e+00,1.000000000000000000e+01,2.778620371183558646e+00,1.440794653322644514e+01
